#Card	# Card Name
104	Storm Crow
105	Telepathy
106	Temporal Adept
107	Thieving Magpie
108	Tidal Kraken
109	Trade Routes
110	Treasure Trove
111	Twiddle
112	Unsummon
113	Wall of Air
114	Wind Drake
115	Wrath of Marit Lage
116	Zur's Weirding
117	Abyssal Specter
118	Ambition's Cost
119	Bog Imp
120	Bog Wraith
121	Carrion Wall
122	Coercion
123	Dark Banishing
124	Death Pit Offering
125	Death Pits of Rath
126	Deathgazer
127	Deepwood Ghoul
128	Diabolic Tutor
129	Drudge Skeletons
130	Dusk Imp
131	Eastern Paladin
132	Execute
133	Fallen Angel
134	Fear
135	Giant Cockroach
136	Gluttonous Zombie
137	Grave Pact
138	Gravedigger
139	Larceny
140	Looming Shade
141	Lord of the Undead
142	Maggot Carrier
143	Megrim
144	Mind Rot
145	Mind Slash
146	Mind Sludge
147	Murderous Betrayal
148	Nausea
149	Nekrataal
150	Nightmare
151	Persecute
152	Phyrexian Arena
153	Phyrexian Plaguelord
154	Plague Beetle
155	Plague Wind
156	Primeval Shambler
157	Raise Dead
158	Ravenous Rats
159	Royal Assassin
160	Scathe Zombies
161	Serpent Warrior
162	Sever Soul
163	Severed Legion
164	Slay
165	Soul Feast
166	Spineless Thug
167	Swarm of Rats
168	Underworld Dreams
169	Unholy Strength
170	Vampiric Spirit
171	Vicious Hunger
172	Warped Devotion
173	Western Paladin
174	Zombify
175	Anaba Shaman
176	Balduvian Barbarians
177	Blaze
178	Blood Moon
179	Bloodshot Cyclops
180	Boil
181	Canyon Wildcat
182	Cinder Wall
183	Demolish
184	Dwarven Demolition Team
185	Enrage
186	Flashfires
187	Furnace of Rath
188	Goblin Chariot
189	Goblin Glider
190	Goblin King
191	Goblin Raider
192	Guerrilla Tactics
193	Hammer of Bogardan
194	Hill Giant
195	Hulking Cyclops
196	Inferno
197	Lava Axe
198	Lava Hounds
199	Lesser Gargadon
200	Lightning Blast
201	Lightning Elemental
202	Mana Clash
203	Mogg Sentry
204	Obliterate
205	Ogre Taskmaster
206	Okk
207	Orcish Artillery
208	Orcish Spy
209	Panic Attack
210	Pyroclasm
211	Pyrotechnics
212	Raging Goblin
213	Reflexes
214	Relentless Assault
215	Ridgeline Rager
216	Rukh Egg
217	Sabretooth Tiger
218	Searing Wind
219	Seismic Assault
220	Shatter
221	Shivan Dragon
222	Shock
223	Shock Troops
224	Sizzle
225	Stone Rain
226	Sudden Impact
227	Thieves' Auction
228	Tremor
229	Two-Headed Dragon
230	Viashino Sandstalker
231	Volcanic Hammer
232	Wall of Stone
233	Birds of Paradise
234	Blanchwood Armor
235	Call of the Wild
236	Canopy Spider
237	Choke
238	Collective Unconscious
239	Craw Wurm
240	Creeping Mold
241	Elvish Champion
242	Elvish Lyrist
243	Elvish Pioneer
244	Elvish Piper
245	Elvish Scrapper
246	Emperor Crocodile
247	Fecundity
248	Fertile Ground
249	Foratog
250	Fungusaur
251	Fyndhorn Elder
252	Gaea's Herald
253	Giant Badger
254	Giant Growth
255	Giant Spider
256	Grizzly Bears
257	Horned Troll
258	Hunted Wumpus
259	Lhurgoyf
260	Living Terrain
261	Llanowar Behemoth
262	Lone Wolf
263	Lure
264	Maro
265	Might of Oaks
266	Monstrous Growth
267	Moss Monster
268	Nantuko Disciple
269	Natural Affinity
270	Naturalize
271	Norwood Ranger
272	Plow Under
273	Primeval Force
274	Rampant Growth
275	Regeneration
276	Revive
277	Rhox
278	Rushwood Dryad
279	Spined Wurm
280	Spitting Spider
281	Spreading Algae
282	Stream of Life
283	Thorn Elemental
284	Trained Armodon
285	Verduran Enchantress
286	Vernal Bloom
287	Vine Trellis
288	Wing Snare
289	Wood Elves
290	Yavimaya Enchantress
291	Aladdin's Ring
292	Beast of Burden
293	Brass Herald
294	Coat of Arms
295	Crystal Rod
296	Defense Grid
297	Dingus Egg
298	Disrupting Scepter
299	Distorting Lens
300	Ensnaring Bridge
301	Flying Carpet
302	Fodder Cannon
303	Howling Mine
304	Iron Star
305	Ivory Cup
306	Jayemdae Tome
307	Millstone
308	Patagia Golem
309	Phyrexian Colossus
310	Phyrexian Hulk
311	Planar Portal
312	Rod of Ruin
313	Skull of Orm
314	Spellbook
315	Star Compass
316	Teferi's Puzzle Box
317	Throne of Bone
318	Urza's Armor
319	Vexing Arcanix
320	Wall of Spears
321	Wooden Sphere
322	City of Brass
323	Coastal Tower
324	Elfhame Palace
325	Salt Marsh
326	Shivan Oasis
327	Urborg Volcano
328	Urza's Mine
329	Urza's Power Plant
330	Urza's Tower
331	Plains
332	Plains
333	Plains
334	Plains
335	Island
336	Island
337	Island
338	Island
339	Swamp
340	Swamp
341	Swamp
342	Swamp
343	Mountain
344	Mountain
345	Mountain
346	Mountain
347	Forest
348	Forest
349	Forest
350	Forest
#S1	Eager Cadet
#S6	Enormous Baloth
#S3	Giant Octopus
#S4	Sea Eagle
#S7	Silverback Ape
#S2	Vengeance
#S5	Vizzerdrix
